"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Alem";"Alem";"1623";"Maasdriel";"0263"
"Alkmaar";"Alkmaar";"2348";"Alkmaar";"0361"
"Allingawier";"Allingawier";"2301";"Súdwest Fryslân";"1900"
"Almelo";"Almelo";"1924";"Almelo";"0141"
"Almen";"Almen";"1334";"Lochem";"0262"
"Almere";"Almere";"1270";"Almere";"0034"
"Almkerk";"Almkerk";"3300";"Woudrichem";"0874"
"Alphen";"Alphen";"3432";"Alphen-Chaam";"1723"
"Alphen";"Alphen";"1766";"West Maas en Waal";"0668"
"Alphen aan den Rijn";"Alphen aan den Rijn";"1080";"Alphen aan den Rijn";"0484"
"Alteveer";"Alteveer";"1633";"Noordenveld";"1699"
"Alteveer";"Alteveer";"3160";"De Wolden";"1690"
"Alteveer";"Alteveer";"3079";"Stadskanaal";"0037"
"Alteveer gem Hoogeveen";"Alteveer gem Hoogeveen";"1810";"Hoogeveen";"0118"
"Altforst";"Altforst";"1767";"West Maas en Waal";"0668"
"Ambt Delden";"Ambt Delden";"1438";"Hof van Twente";"1735"
"Ameide";"Ameide";"2106";"Zederik";"0707"
"Amen";"Amen";"1147";"Aa en Hunze";"1680"
"America";"America";"1026";"Horst aan de Maas";"1507"
"Amerongen";"Amerongen";"3337";"Utrechtse Heuvelrug";"1581"
"Amersfoort";"Amersfoort";"1664";"Amersfoort";"0307"
"Ammerstol";"Ammerstol";"2367";"Bergambacht";"0491"
"Ammerzoden";"Ammerzoden";"1624";"Maasdriel";"0263"
"Amstelhoek";"Amstelhoek";"1932";"De Ronde Venen";"0736"
"Amstelveen";"Amstelveen";"1050";"Amstelveen";"0362"
"Amstenrade";"Amstenrade";"2099";"Schinnen";"0962"
"Amsterdam";"Amsterdam";"1024";"Amsterdam";"0363"
"Amsterdam Zuidoost";"Amsterdam Zuidoost";"1025";"Amsterdam";"0363"
"Andel";"Andel";"3301";"Woudrichem";"0874"
"Den Andel";"Den Andel";"2466";"Winsum";"0053"
"Andelst";"Andelst";"1862";"Overbetuwe";"1734"
"Anderen";"Anderen";"1148";"Aa en Hunze";"1680"
"Andijk";"Andijk";"1053";"Medemblik";"0420"
"Ane";"Ane";"1537";"Hardenberg";"0160"
"Anerveen";"Anerveen";"1538";"Hardenberg";"0160"
"Anevelde";"Anevelde";"1539";"Hardenberg";"0160"
"Angeren";"Angeren";"3133";"Lingewaard";"1705"
"Angerlo";"Angerlo";"1299";"Zevenaar";"0299"
"Anjum";"Anjum";"3388";"Dongeradeel";"0058"
"Ankeveen";"Ankeveen";"2999";"Wijdemeren";"1696"
"Anloo";"Anloo";"1149";"Aa en Hunze";"1680"
"Anna Paulowna";"Anna Paulowna";"3185";"Hollands Kroon";"1911"
"Annen";"Annen";"1150";"Aa en Hunze";"1680"
"Annerveenschekanaal";"Annerveenschekanaal";"1151";"Aa en Hunze";"1680"
"Ansen";"Ansen";"3161";"De Wolden";"1690"
"Ansen";"Ansen";"3104";"Westerveld";"1701"
"Ter Apel";"Ter Apel";"2296";"Vlagtwedde";"0048"
"Apeldoorn";"Apeldoorn";"2247";"Apeldoorn";"0200"
"Ter Apelkanaal";"Ter Apelkanaal";"2297";"Vlagtwedde";"0048"
"Appelscha";"Appelscha";"1753";"Ooststellingwerf";"0085"
"Appeltern";"Appeltern";"1768";"West Maas en Waal";"0668"
"Appingedam";"Appingedam";"3386";"Appingedam";"0003"
"Arcen";"Arcen";"3140";"Venlo";"0983"
"Arkel";"Arkel";"1432";"Giessenlanden";"0689"
"Arnemuiden";"Arnemuiden";"1008";"Middelburg";"0687"
"Arnhem";"Arnhem";"1296";"Arnhem";"0202"
"Arriën";"Arriën";"2547";"Ommen";"0175"
"Arum";"Arum";"2302";"Súdwest Fryslân";"1900"
"Asch";"Asch";"3370";"Buren";"0214"
"Asperen";"Asperen";"2353";"Lingewaal";"0733"
"Assen";"Assen";"2391";"Assen";"0106"
"Assendelft";"Assendelft";"1878";"Zaanstad";"0479"
"Asten";"Asten";"2928";"Asten";"0743"
"Augsbuurt";"Augsbuurt";"3307";"Kollumerland en Nieuwkruisland";"0079"
"Augustinusga";"Augustinusga";"3173";"Achtkarspelen";"0059"
"Austerlitz";"Austerlitz";"2824";"Zeist";"0355"
"Avenhorn";"Avenhorn";"1183";"Koggenland";"1598"
"Axel";"Axel";"1128";"Terneuzen";"0715"
"Azewijn";"Azewijn";"2202";"Montferland";"1955"
"Baaiduinen";"Baaiduinen";"2621";"Terschelling";"0093"
"Baaium";"Baaium";"2008";"Littenseradiel";"0140"
"Baak";"Baak";"1527";"Bronckhorst";"1876"
"Baambrugge";"Baambrugge";"1333";"De Ronde Venen";"0736"
"Baard";"Baard";"2009";"Littenseradiel";"0140"
"Baarland";"Baarland";"1251";"Borsele";"0654"
"Baarle-Nassau";"Baarle-Nassau";"2883";"Baarle-Nassau";"0744"
"Baarlo";"Baarlo";"2691";"Steenwijkerland";"1708"
"Baarlo";"Baarlo";"2602";"Peel en Maas";"1894"
"Baarn";"Baarn";"1092";"Baarn";"0308"
"Baars";"Baars";"2692";"Steenwijkerland";"1708"
"Babberich";"Babberich";"1298";"Zevenaar";"0299"
"Babyloniënbroek";"Babyloniënbroek";"1951";"Aalburg";"0738"
"Bad Nieuweschans";"Bad Nieuweschans";"1420";"Oldambt";"1895"
"Badhoevedorp";"Badhoevedorp";"1617";"Haarlemmermeer";"0394"
"Baexem";"Baexem";"2940";"Leudal";"1640"
"Baflo";"Baflo";"2465";"Winsum";"0053"
"Bakel";"Bakel";"2090";"Gemert-Bakel";"1652"
"Bakhuizen";"Bakhuizen";"1673";"Gaasterlân-Sleat";"0653"
"Bakkeveen";"Bakkeveen";"3342";"Opsterland";"0086"
"Balgoij";"Balgoij";"2570";"Wijchen";"0296"
"Balinge";"Balinge";"3005";"Midden-Drenthe";"1731"
"Balk";"Balk";"1674";"Gaasterlân-Sleat";"0653"
"Balkbrug";"Balkbrug";"1540";"Hardenberg";"0160"
"Balloërveld";"Balloërveld";"1153";"Aa en Hunze";"1680"
"Balloo";"Balloo";"1152";"Aa en Hunze";"1680"
"Ballum";"Ballum";"2587";"Ameland";"0060"
"Baneheide";"Baneheide";"3067";"Simpelveld";"0965"
"Banholt";"Banholt";"1690";"Eijsden-Margraten";"1903"
"Bant";"Bant";"1272";"Noordoostpolder";"0171"
"Bantega";"Bantega";"2239";"Lemsterland";"0082"
"Barchem";"Barchem";"1335";"Lochem";"0262"
"Barendrecht";"Barendrecht";"1594";"Barendrecht";"0489"
"Barger-Compascuum";"Barger-Compascuum";"1987";"Emmen";"0114"
"Barneveld";"Barneveld";"1054";"Barneveld";"0203"
"Barsingerhorn";"Barsingerhorn";"2514";"Hollands Kroon";"1911"
"Basse";"Basse";"2693";"Steenwijkerland";"1708"
"Batenburg";"Batenburg";"2568";"Wijchen";"0296"
"Bathmen";"Bathmen";"2854";"Deventer";"0150"
"Bavel";"Bavel";"1703";"Breda";"0758"
"Bavel AC";"Bavel AC";"3437";"Alphen-Chaam";"1723"
"Bears";"Bears";"2010";"Littenseradiel";"0140"
"Bedum";"Bedum";"2829";"Bedum";"0005"
"Beegden";"Beegden";"1918";"Maasgouw";"1641"
"Beek";"Beek";"1670";"Beek";"0888"
"Beek";"Beek";"2203";"Montferland";"1955"
"Beek";"Beek";"2872";"Ubbergen";"0282"
"Beek en Donk";"Beek en Donk";"1446";"Laarbeek";"1659"
"Beekbergen";"Beekbergen";"2258";"Apeldoorn";"0200"
"Beemte Broekland";"Beemte Broekland";"2254";"Apeldoorn";"0200"
"Beers (NB.)";"Beers (NB.)";"1449";"Cuijk";"1684"
"Beerta";"Beerta";"3508";"Oldambt";"1895"
"Beerze";"Beerze";"2548";"Ommen";"0175"
"Beerzerveld";"Beerzerveld";"2549";"Ommen";"0175"
"Beesd";"Beesd";"3213";"Geldermalsen";"0236"
"Beesel";"Beesel";"1950";"Beesel";"0889"
"Beets";"Beets";"1837";"Zeevang";"0478"
"Beetsterzwaag";"Beetsterzwaag";"3343";"Opsterland";"0086"
"Beilen";"Beilen";"3006";"Midden-Drenthe";"1731"
"Beinsdorp";"Beinsdorp";"1610";"Haarlemmermeer";"0394"
"Belfeld";"Belfeld";"1476";"Venlo";"0983"
"Bellingwolde";"Bellingwolde";"2231";"Bellingwedde";"0007"
"Beltrum";"Beltrum";"1661";"Berkelland";"1859"
"Belt-Schutsloot";"Belt-Schutsloot";"2694";"Steenwijkerland";"1708"
"Bemelen";"Bemelen";"1691";"Eijsden-Margraten";"1903"
"Bemmel";"Bemmel";"3131";"Lingewaard";"1705"
"Beneden-Leeuwen";"Beneden-Leeuwen";"1769";"West Maas en Waal";"0668"
"Bennebroek";"Bennebroek";"1391";"Bloemendaal";"0377"
"Bennekom";"Bennekom";"2766";"Ede";"0228"
"Benneveld";"Benneveld";"2146";"Coevorden";"0109"
"Benningbroek";"Benningbroek";"3148";"Medemblik";"0420"
"Benschop";"Benschop";"1958";"Lopik";"0331"
"Bentelo";"Bentelo";"1439";"Hof van Twente";"1735"
"Benthuizen";"Benthuizen";"2853";"Rijnwoude";"1672"
"Bentveld";"Bentveld";"1306";"Zandvoort";"0473"
"Berg en Dal";"Berg en Dal";"2873";"Ubbergen";"0282"
"Berg en Dal";"Berg en Dal";"2290";"Groesbeek";"0241"
"Berg en Terblijt";"Berg en Terblijt";"1716";"Valkenburg aan de Geul";"0994"
"Bergambacht";"Bergambacht";"2365";"Bergambacht";"0491"
"Bergeijk";"Bergeijk";"1457";"Bergeijk";"1724"
"Bergen (L.)";"Bergen (L.)";"1121";"Bergen (L.)";"0893"
"Bergen (NH.)";"Bergen (NH.)";"3047";"Bergen (NH.)";"0373"
"Bergen aan Zee";"Bergen aan Zee";"3046";"Bergen (NH.)";"0373"
"Bergen op Zoom";"Bergen op Zoom";"1937";"Bergen op Zoom";"0748"
"Bergentheim";"Bergentheim";"1541";"Hardenberg";"0160"
"Bergharen";"Bergharen";"2565";"Wijchen";"0296"
"Berghem";"Berghem";"3250";"Oss";"0828"
"Bergschenhoek";"Bergschenhoek";"1688";"Lansingerland";"1621"
"Beringe";"Beringe";"3438";"Peel en Maas";"1894"
"Berkel en Rodenrijs";"Berkel en Rodenrijs";"1687";"Lansingerland";"1621"
"Berkel-Enschot";"Berkel-Enschot";"1044";"Tilburg";"0855"
"Berkenwoude";"Berkenwoude";"2366";"Bergambacht";"0491"
"Berkhout";"Berkhout";"1184";"Koggenland";"1598"
"Berlicum";"Berlicum";"2057";"Sint-Michielsgestel";"0845"
"Berltsum";"Berltsum";"2724";"Menameradiel";"1908"
"Bern";"Bern";"2627";"Zaltbommel";"0297"
"Best";"Best";"1456";"Best";"0753"
"Beugen";"Beugen";"1214";"Boxmeer";"0756"
"Beuningen";"Beuningen";"1711";"Losser";"0168"
"Beuningen (Gld.)";"Beuningen (Gld.)";"2751";"Beuningen";"0209"
"Beusichem";"Beusichem";"3371";"Buren";"0214"
"Beutenaken";"Beutenaken";"1230";"Gulpen-Wittem";"1729"
"Beverwijk";"Beverwijk";"2735";"Beverwijk";"0375"
"Biddinghuizen";"Biddinghuizen";"2429";"Dronten";"0303"
"Bierum";"Bierum";"3232";"Delfzijl";"0010"
"Biervliet";"Biervliet";"2975";"Sluis";"1714"
"Biervliet";"Biervliet";"1129";"Terneuzen";"0715"
"Biest-Houtakker";"Biest-Houtakker";"1309";"Hilvarenbeek";"0798"
"Biezenmortel";"Biezenmortel";"1425";"Haaren";"0788"
"Biggekerke";"Biggekerke";"2775";"Veere";"0717"
"De Bilt";"De Bilt";"2934";"De Bilt";"0310"
"Bilthoven";"Bilthoven";"2935";"De Bilt";"0310"
"Bingelrade";"Bingelrade";"2845";"Onderbanken";"0881"
"Bitgum";"Bitgum";"2722";"Menameradiel";"1908"
"Bitgummole";"Bitgummole";"2723";"Menameradiel";"1908"
"Bladel";"Bladel";"1064";"Bladel";"1728"
"Blankenham";"Blankenham";"2695";"Steenwijkerland";"1708"
"Blaricum";"Blaricum";"2828";"Blaricum";"0376"
"Blauwestad";"Blauwestad";"3509";"Oldambt";"1895"
"Blauwhuis";"Blauwhuis";"2401";"Súdwest Fryslân";"1900"
"Bleiswijk";"Bleiswijk";"1689";"Lansingerland";"1621"
"Blesdijke";"Blesdijke";"1720";"Weststellingwerf";"0098"
"Bleskensgraaf ca";"Bleskensgraaf ca";"1980";"Graafstroom";"0693"
"De Blesse";"De Blesse";"1722";"Weststellingwerf";"0098"
"Blessum";"Blessum";"2725";"Menameradiel";"1908"
"Blije";"Blije";"3199";"Ferwerderadiel";"1722"
"Blijham";"Blijham";"2232";"Bellingwedde";"0007"
"Blitterswijck";"Blitterswijck";"1856";"Venray";"0984"
"Bloemendaal";"Bloemendaal";"2654";"Bloemendaal";"0377"
"Blokker";"Blokker";"2462";"Hoorn";"0405"
"Blokzijl";"Blokzijl";"2696";"Steenwijkerland";"1708"
"Boazum";"Boazum";"2011";"Littenseradiel";"0140"
"Bocholtz";"Bocholtz";"3066";"Simpelveld";"0965"
"Bodegraven";"Bodegraven";"2665";"Bodegraven-Reeuwijk";"1901"
"Boekel";"Boekel";"3138";"Boekel";"0755"
"Boelenslaan";"Boelenslaan";"3174";"Achtkarspelen";"0059"
"Boer";"Boer";"1371";"Franekeradeel";"0070"
"Ten Boer";"Ten Boer";"1829";"Ten Boer";"0009"
"Boerakker";"Boerakker";"2339";"Leek";"0022"
"Boerakker";"Boerakker";"2259";"Marum";"0025"
"Boesingheliede";"Boesingheliede";"1615";"Haarlemmermeer";"0394"
"Boijl";"Boijl";"1721";"Weststellingwerf";"0098"
"Boksum";"Boksum";"2726";"Menameradiel";"1908"
"Bolsward";"Bolsward";"2079";"Súdwest Fryslân";"1900"
"Den Bommel";"Den Bommel";"2132";"Oostflakkee";"0580"
"Bontebok";"Bontebok";"2193";"Heerenveen";"0074"
"Boornbergum";"Boornbergum";"3275";"Smallingerland";"0090"
"Boornzwaag";"Boornzwaag";"2485";"Skarsterlân";"0051"
"Borculo";"Borculo";"1659";"Berkelland";"1859"
"Borger";"Borger";"1782";"Borger-Odoorn";"1681"
"Borgercompagnie";"Borgercompagnie";"1242";"Veendam";"0047"
"Borgercompagnie";"Borgercompagnie";"2275";"Menterwolde";"1987"
"Borgsweer";"Borgsweer";"3233";"Delfzijl";"0010"
"Born";"Born";"2808";"Sittard-Geleen";"1883"
"Borne";"Borne";"3511";"Borne";"0147"
"Bornerbroek";"Bornerbroek";"1926";"Almelo";"0141"
"Bornwird";"Bornwird";"3389";"Dongeradeel";"0058"
"Borssele";"Borssele";"1252";"Borsele";"0654"
"Bosch en Duin";"Bosch en Duin";"2823";"Zeist";"0355"
"Boschoord";"Boschoord";"3105";"Westerveld";"1701"
"Boskoop";"Boskoop";"2998";"Boskoop";"0499"
"Bosschenhoofd";"Bosschenhoofd";"1249";"Halderberge";"1655"
"Botlek Rotterdam";"Botlek Rotterdam";"3080";"Rotterdam";"0599"
"Bourtange";"Bourtange";"2294";"Vlagtwedde";"0048"
"Bovenkarspel";"Bovenkarspel";"1102";"Stede Broec";"0532"
"Boven-Leeuwen";"Boven-Leeuwen";"1770";"West Maas en Waal";"0668"
"Bovensmilde";"Bovensmilde";"3007";"Midden-Drenthe";"1731"
"Boxmeer";"Boxmeer";"1215";"Boxmeer";"0756"
"Boxtel";"Boxtel";"2439";"Boxtel";"0757"
"Braamt";"Braamt";"2204";"Montferland";"1955"
"Brakel";"Brakel";"2628";"Zaltbommel";"0297"
"Brandwijk";"Brandwijk";"1981";"Graafstroom";"0693"
"Brantgum";"Brantgum";"3390";"Dongeradeel";"0058"
"Breda";"Breda";"1702";"Breda";"0758"
"Bredevoort";"Bredevoort";"1194";"Aalten";"0197"
"Breedenbroek";"Breedenbroek";"1587";"Oude IJsselstreek";"1509"
"Breezand";"Breezand";"3186";"Hollands Kroon";"1911"
"Breezanddijk";"Breezanddijk";"2303";"Súdwest Fryslân";"1900"
"Breskens";"Breskens";"2965";"Sluis";"1714"
"Breugel";"Breugel";"2600";"Son en Breugel";"0848"
"Breukelen";"Breukelen";"1392";"Stichtse Vecht";"1904"
"Breukeleveen";"Breukeleveen";"3004";"Wijdemeren";"1696"
"Brielle";"Brielle";"2368";"Brielle";"0501"
"Briltil";"Briltil";"2115";"Zuidhorn";"0056"
"Britsum";"Britsum";"3225";"Leeuwarderadeel";"0081"
"Britswert";"Britswert";"2012";"Littenseradiel";"0140"
"Broek";"Broek";"2486";"Skarsterlân";"0051"
"Broek in Waterland";"Broek in Waterland";"1940";"Waterland";"0852"
"Broek op Langedijk";"Broek op Langedijk";"1116";"Langedijk";"0416"
"Broekhuizen";"Broekhuizen";"1027";"Horst aan de Maas";"1507"
"Broekhuizen";"Broekhuizen";"1086";"Meppel";"0119"
"Broekhuizenvorst";"Broekhuizenvorst";"1028";"Horst aan de Maas";"1507"
"Broekland";"Broekland";"1497";"Raalte";"0177"
"Broeksterwâld";"Broeksterwâld";"3265";"Dantumadiel";"1891"
"Bronkhorst";"Bronkhorst";"1530";"Bronckhorst";"1876"
"Bronneger";"Bronneger";"1783";"Borger-Odoorn";"1681"
"Bronnegerveen";"Bronnegerveen";"1784";"Borger-Odoorn";"1681"
"Brouwershaven";"Brouwershaven";"2674";"Schouwen-Duiveland";"1676"
"Bruchem";"Bruchem";"2629";"Zaltbommel";"0297"
"Brucht";"Brucht";"1542";"Hardenberg";"0160"
"Bruchterveld";"Bruchterveld";"1543";"Hardenberg";"0160"
"Bruinehaar";"Bruinehaar";"3320";"Twenterand";"1700"
"Bruinisse";"Bruinisse";"2675";"Schouwen-Duiveland";"1676"
"Brummen";"Brummen";"1111";"Brummen";"0213"
"Brunssum";"Brunssum";"2849";"Brunssum";"0899"
"Bruntinge";"Bruntinge";"3008";"Midden-Drenthe";"1731"
"Buchten";"Buchten";"2809";"Sittard-Geleen";"1883"
"Budel";"Budel";"1571";"Cranendonck";"1706"
"Budel-Dorplein";"Budel-Dorplein";"1573";"Cranendonck";"1706"
"Budel-Schoot";"Budel-Schoot";"1572";"Cranendonck";"1706"
"Buggenum";"Buggenum";"2941";"Leudal";"1640"
"Buinen";"Buinen";"1785";"Borger-Odoorn";"1681"
"Buinerveen";"Buinerveen";"1786";"Borger-Odoorn";"1681"
"Buitenkaag";"Buitenkaag";"1607";"Haarlemmermeer";"0394"
"Buitenpost";"Buitenpost";"3175";"Achtkarspelen";"0059"
"De Bult";"De Bult";"2697";"Steenwijkerland";"1708"
"Bunde";"Bunde";"1461";"Meerssen";"0938"
"Bunne";"Bunne";"2914";"Tynaarlo";"1730"
"Bunnik";"Bunnik";"2603";"Bunnik";"0312"
"Bunschoten-Spakenburg";"Bunschoten-Spakenburg";"2237";"Bunschoten";"0313"
"Burdaard";"Burdaard";"3200";"Ferwerderadiel";"1722"
"Buren";"Buren";"2589";"Ameland";"0060"
"Buren";"Buren";"3372";"Buren";"0214"
"Den Burg";"Den Burg";"2740";"Texel";"0448"
"Burgerbrug";"Burgerbrug";"2762";"Zijpe";"0476"
"Burgerveen";"Burgerveen";"1603";"Haarlemmermeer";"0394"
"Burgh-Haamstede";"Burgh-Haamstede";"2676";"Schouwen-Duiveland";"1676"
"Burgum";"Burgum";"2451";"Tytsjerksteradiel";"0737"
"Burgwerd";"Burgwerd";"2304";"Súdwest Fryslân";"1900"
"Burum";"Burum";"3308";"Kollumerland en Nieuwkruisland";"0079"
"Bussum";"Bussum";"1331";"Bussum";"0381"
"Buurmalsen";"Buurmalsen";"3373";"Buren";"0214"
"Buurmalsen";"Buurmalsen";"3532";"Geldermalsen";"0236"
"Cadier en Keer";"Cadier en Keer";"1692";"Eijsden-Margraten";"1903"
"Cadzand";"Cadzand";"2964";"Sluis";"1714"
"Callantsoog";"Callantsoog";"2757";"Zijpe";"0476"
"Capelle aan den IJssel";"Capelle aan den IJssel";"1105";"Capelle aan den IJssel";"0502"
"Castelre";"Castelre";"2885";"Baarle-Nassau";"0744"
"Castenray";"Castenray";"2328";"Venray";"0984"
"Casteren";"Casteren";"1067";"Bladel";"1728"
"Castricum";"Castricum";"2268";"Castricum";"0383"
"Chaam";"Chaam";"3433";"Alphen-Chaam";"1723"
"Clinge";"Clinge";"3092";"Hulst";"0677"
"De Cocksdorp";"De Cocksdorp";"2737";"Texel";"0448"
"Coevorden";"Coevorden";"2147";"Coevorden";"0109"
"Colijnsplaat";"Colijnsplaat";"3190";"Noord-Beveland";"1695"
"Collendoorn";"Collendoorn";"1544";"Hardenberg";"0160"
"Colmschate";"Colmschate";"2855";"Deventer";"0150"
"Cornwerd";"Cornwerd";"2305";"Súdwest Fryslân";"1900"
"Cothen";"Cothen";"1304";"Wijk bij Duurstede";"0352"
"Creil";"Creil";"1281";"Noordoostpolder";"0171"
"Cromvoirt";"Cromvoirt";"1620";"Vught";"0865"
"Cruquius";"Cruquius";"1612";"Haarlemmermeer";"0394"
"Cuijk";"Cuijk";"1450";"Cuijk";"1684"
"Culemborg";"Culemborg";"2052";"Culemborg";"0216"
"Daarle";"Daarle";"1038";"Hellendoorn";"0163"
"Daarlerveen";"Daarlerveen";"1039";"Hellendoorn";"0163"
"Dalem";"Dalem";"2300";"Gorinchem";"0512"
"Dalen";"Dalen";"2148";"Coevorden";"0109"
"Dalerpeel";"Dalerpeel";"2149";"Coevorden";"0109"
"Dalerveen";"Dalerveen";"2150";"Coevorden";"0109"
"Dalfsen";"Dalfsen";"1237";"Dalfsen";"0148"
"Dalmsholte";"Dalmsholte";"2550";"Ommen";"0175"
"Damwâld";"Damwâld";"3266";"Dantumadiel";"1891"
"Darp";"Darp";"3106";"Westerveld";"1701"
"Dearsum";"Dearsum";"2526";"Boarnsterhim";"0055"
"Dedemsvaart";"Dedemsvaart";"1546";"Hardenberg";"0160"
"Dedgum";"Dedgum";"2306";"Súdwest Fryslân";"1900"
"Deelen";"Deelen";"2773";"Ede";"0228"
"Deest";"Deest";"2903";"Druten";"0225"
"Deil";"Deil";"3217";"Geldermalsen";"0236"
"Deinum";"Deinum";"2727";"Menameradiel";"1908"
"Delden";"Delden";"1440";"Hof van Twente";"1735"
"Delfgauw";"Delfgauw";"1143";"Pijnacker-Nootdorp";"1926"
"Delfstrahuizen";"Delfstrahuizen";"2240";"Lemsterland";"0082"
"Delft";"Delft";"2138";"Delft";"0503"
"Delfzijl";"Delfzijl";"3234";"Delfzijl";"0010"
"Delwijnen";"Delwijnen";"2630";"Zaltbommel";"0297"
"Demen";"Demen";"3260";"Oss";"0828"
"Denekamp";"Denekamp";"1408";"Dinkelland";"1774"
"Deurne";"Deurne";"1774";"Deurne";"0762"
"Deurningen";"Deurningen";"1409";"Dinkelland";"1774"
"Deurningen";"Deurningen";"1669";"Oldenzaal";"0173"
"Deursen-Dennenburg";"Deursen-Dennenburg";"3256";"Oss";"0828"
"Deurze";"Deurze";"1154";"Aa en Hunze";"1680"
"Deventer";"Deventer";"2856";"Deventer";"0150"
"Didam";"Didam";"2205";"Montferland";"1955"
"Dieden";"Dieden";"3259";"Oss";"0828"
"Diemen";"Diemen";"2144";"Diemen";"0384"
"Diepenheim";"Diepenheim";"1441";"Hof van Twente";"1735"
"Diepenveen";"Diepenveen";"2857";"Deventer";"0150"
"Dieren";"Dieren";"1504";"Rheden";"0275"
"Diessen";"Diessen";"1308";"Hilvarenbeek";"0798"
"Diever";"Diever";"3107";"Westerveld";"1701"
"Dieverbrug";"Dieverbrug";"3108";"Westerveld";"1701"
"Diffelen";"Diffelen";"1548";"Hardenberg";"0160"
"Dijken";"Dijken";"2487";"Skarsterlân";"0051"
"Dinteloord";"Dinteloord";"1402";"Steenbergen";"0851"
"Dinxperlo";"Dinxperlo";"1196";"Aalten";"0197"
"Diphoorn";"Diphoorn";"2152";"Coevorden";"0109"
"Dirkshorn";"Dirkshorn";"3289";"Harenkarspel";"0395"
"Dirksland";"Dirksland";"2377";"Dirksland";"0504"
"Dodewaard";"Dodewaard";"1094";"Neder-Betuwe";"1740"
"Doenrade";"Doenrade";"2100";"Schinnen";"0962"
"Doesburg";"Doesburg";"2142";"Doesburg";"0221"
"Doetinchem";"Doetinchem";"3246";"Doetinchem";"0222"
"Doeveren";"Doeveren";"3514";"Heusden";"0797"
"Doezum";"Doezum";"2174";"Grootegast";"0015"
"Dokkum";"Dokkum";"3391";"Dongeradeel";"0058"
"Den Dolder";"Den Dolder";"2822";"Zeist";"0355"
"Doldersum";"Doldersum";"3109";"Westerveld";"1701"
"Domburg";"Domburg";"2776";"Veere";"0717"
"Donderen";"Donderen";"2916";"Tynaarlo";"1730"
"Dongen";"Dongen";"2799";"Dongen";"0766"
"Dongjum";"Dongjum";"1372";"Franekeradeel";"0070"
"Doniaga";"Doniaga";"2488";"Skarsterlân";"0051"
"Donkerbroek";"Donkerbroek";"1754";"Ooststellingwerf";"0085"
